uniqueid,streamside,streamdist,depth,mortality,sizemm,pc1,pc1new,gravel
C 100-0,C,0,5,A,52.8,-2.055527973,0.873948667,0.8316
N10 120-0,N,10,5,A,46.74,1.062502445,3.991979085,0.7437
N10 120-0,N,10,5,A,42.91,1.062502445,3.991979085,0.7437
N10 40-6,N,10,5,A,37.8,-1.472071152,1.457405488,0.8169
N10 40-6,N,10,5,A,34.85,-1.472071152,1.457405488,0.8169
N10 40-6,N,10,5,A,30.27,-1.472071152,1.457405488,0.8169
N10 40-6,N,10,5,A,26.13,-1.472071152,1.457405488,0.8169
N10 40-6,N,10,10,A,23.96,-1.472071152,1.457405488,0.8169
N10 50-3,N,10,0,A,52.35,3.652295798,6.581772438,0.5086
N10 50-3,N,10,10,A,50.06,3.652295798,6.581772438,0.5086
N10 50-3,N,10,0,A,47.28,3.652295798,6.581772438,0.5086
N10 50-3,N,10,0,A,45.75,3.652295798,6.581772438,0.5086
N10 50-3,N,10,5,A,43.4,3.652295798,6.581772438,0.5086
N10 50-3,N,10,0,A,43.03,3.652295798,6.581772438,0.5086
N10 50-3,N,10,5,A,42.61,3.652295798,6.581772438,0.5086
N10 50-3,N,10,5,A,41.98,3.652295798,6.581772438,0.5086
N10 50-3,N,10,0,A,41.2,3.652295798,6.581772438,0.5086
N10 50-3,N,10,5,A,38.49,3.652295798,6.581772438,0.5086
N10 50-3,N,10,0,A,37.8,3.652295798,6.581772438,0.5086
N10 50-3,N,10,5,A,37.05,3.652295798,6.581772438,0.5086
N10 50-3,N,10,10,A,34.59,3.652295798,6.581772438,0.5086
N10 50-3,N,10,5,A,34.23,3.652295798,6.581772438,0.5086
N10 50-3,N,10,15,A,33.56,3.652295798,6.581772438,0.5086
N10 50-3,N,10,15,A,33.14,3.652295798,6.581772438,0.5086
N10 50-3,N,10,5,A,31.78,3.652295798,6.581772438,0.5086
N10 50-3,N,10,15,A,31.71,3.652295798,6.581772438,0.5086
N10 50-3,N,10,5,A,30.82,3.652295798,6.581772438,0.5086
N10 50-3,N,10,15,A,30.65,3.652295798,6.581772438,0.5086
N10 50-3,N,10,5,A,29.48,3.652295798,6.581772438,0.5086
N10 50-3,N,10,5,A,29.35,3.652295798,6.581772438,0.5086
N10 50-3,N,10,5,A,27.12,3.652295798,6.581772438,0.5086
N10 50-3,N,10,10,A,26.25,3.652295798,6.581772438,0.5086
N10 50-3,N,10,0,A,26.1,3.652295798,6.581772438,0.5086
N10 50-3,N,10,15,A,25.93,3.652295798,6.581772438,0.5086
N10 80-5,N,10,5,A,39.99,-0.155573608,2.773903032,0.6494
N10 90-5,N,10,5,A,27.44,-0.159998854,2.769477786,0.7685
N10 90-5,N,10,5,A,19.51,-0.159998854,2.769477786,0.7685
N10 90-5,N,10,0,A,17.84,-0.159998854,2.769477786,0.7685
N10 90-5,N,10,5,A,17.59,-0.159998854,2.769477786,0.7685
N10 90-5,N,10,0,A,16.91,-0.159998854,2.769477786,0.7685
N10 90-5,N,10,10,A,15.46,-0.159998854,2.769477786,0.7685
N10 90-5,N,10,0,A,14.42,-0.159998854,2.769477786,0.7685
N10 90-5,N,10,0,A,13.27,-0.159998854,2.769477786,0.7685
N10 90-5,N,10,0,A,13.22,-0.159998854,2.769477786,0.7685
N10 90-5,N,10,0,A,12.11,-0.159998854,2.769477786,0.7685
N10 90-5,N,10,0,A,12.01,-0.159998854,2.769477786,0.7685
N10 90-5,N,10,0,A,11.45,-0.159998854,2.769477786,0.7685
N2 90-0,N,2,10,A,34.52,-2.047922508,0.881554132,0.8489
N5 130-2,N,5,15,A,48.63,0.204432342,3.133908982,0.7071
N5 130-2,N,5,15,A,42.91,0.204432342,3.133908982,0.7071
N5 40-2,N,5,15,A,33.1,-1.410065785,1.519410855,0.8778
N5 50-4,N,5,5,A,38.12,1.768429644,4.697906284,0.6542
N5 50-4,N,5,10,A,37.33,1.768429644,4.697906284,0.6542
N5 50-4,N,5,15,A,35.22,1.768429644,4.697906284,0.6542
N5 50-4,N,5,15,A,34.59,1.768429644,4.697906284,0.6542
N5 50-4,N,5,10,A,34.42,1.768429644,4.697906284,0.6542
N5 50-4,N,5,15,A,34.09,1.768429644,4.697906284,0.6542
N5 50-4,N,5,10,A,33.25,1.768429644,4.697906284,0.6542
N5 50-4,N,5,5,A,32.16,1.768429644,4.697906284,0.6542
N5 50-4,N,5,5,A,32,1.768429644,4.697906284,0.6542
N5 50-4,N,5,5,A,31.54,1.768429644,4.697906284,0.6542
N5 50-4,N,5,15,A,27.44,1.768429644,4.697906284,0.6542
N5 90-3,N,5,10,A,48.64,-2.91947664,0.01,0.8614
N5 90-3,N,5,10,A,26.71,-2.91947664,0.01,0.8614
S10 100-5,S,10,10,A,49.64,-0.503019532,2.426457108,0.8127
S10 100-5,S,10,15,A,47.49,-0.503019532,2.426457108,0.8127
S10 100-5,S,10,15,A,43.69,-0.503019532,2.426457108,0.8127
S10 100-5,S,10,10,A,42.78,-0.503019532,2.426457108,0.8127
S10 110-4,S,10,15,A,41.86,1.197393233,4.126869873,0.7199
S10 140-6,S,10,15,A,56.21,2.047800333,4.977276973,0.6662
S10 50-7,S,10,10,A,33.43,5.749806047,8.679282687,0.3361
S10 60-5,S,10,15,A,45.81,1.002286627,3.931763267,0.6918
S10 60-5,S,10,15,A,37.12,1.002286627,3.931763267,0.6918
S10 70-7,S,10,10,A,44.64,1.588003064,4.517479704,0.5658
S10 70-7,S,10,5,A,44.62,1.588003064,4.517479704,0.5658
S10 70-7,S,10,10,A,42.31,1.588003064,4.517479704,0.5658
S10 70-7,S,10,5,A,41.62,1.588003064,4.517479704,0.5658
S10 70-7,S,10,10,A,40.66,1.588003064,4.517479704,0.5658
