UniqueID,StreamSide,StreamDistance,DownStream,SubDownStream,Elevation,DepthBin,Mortality,Sizemm,Sediment4000,Sediment2000,Sediment500,Sediment250,Sediment125,Sediment63,Sediment0,
S2 0-5,S,2,0,5,4.14,0,Z,,0.6156,0.1505,0.1573,0.0622,0.0129,0.0009,0.0005,
S2 0-5,S,2,0,5,4.14,5,Z,,0.6156,0.1505,0.1573,0.0622,0.0129,0.0009,0.0005,
S2 0-5,S,2,0,5,4.14,10,Z,,0.6156,0.1505,0.1573,0.0622,0.0129,0.0009,0.0005,
S2 0-5,S,2,0,5,4.14,15,Z,,0.6156,0.1505,0.1573,0.0622,0.0129,0.0009,0.0005,
S2 10-2,S,2,10,2,3.94,0,Z,,0.7288,0.0251,0.2131,0.0269,0.0043,0.0013,0.0005,
S2 10-2,S,2,10,2,3.94,5,D,,0.7288,0.0251,0.2131,0.0269,0.0043,0.0013,0.0005,
S2 10-2,S,2,10,2,3.94,10,D,,0.7288,0.0251,0.2131,0.0269,0.0043,0.0013,0.0005,
S2 10-2,S,2,10,2,3.94,10,D,,0.7288,0.0251,0.2131,0.0269,0.0043,0.0013,0.0005,
S2 10-2,S,2,10,2,3.94,10,D,,0.7288,0.0251,0.2131,0.0269,0.0043,0.0013,0.0005,
S2 10-2,S,2,10,2,3.94,10,D,,0.7288,0.0251,0.2131,0.0269,0.0043,0.0013,0.0005,
S2 10-2,S,2,10,2,3.94,15,Z,,0.7288,0.0251,0.2131,0.0269,0.0043,0.0013,0.0005,
S2 20-7,S,2,20,7,3.5,0,Z,,0.479,0.2735,0.2143,0.0297,0.0026,0.0006,0.0003,
S2 20-7,S,2,20,7,3.5,5,Z,,0.479,0.2735,0.2143,0.0297,0.0026,0.0006,0.0003,
S2 20-7,S,2,20,7,3.5,10,Z,,0.479,0.2735,0.2143,0.0297,0.0026,0.0006,0.0003,
S2 20-7,S,2,20,7,3.5,15,Z,,0.479,0.2735,0.2143,0.0297,0.0026,0.0006,0.0003,
S2 30-7,S,2,30,7,3.24,0,Z,,0.5647,0.1528,0.1937,0.0697,0.0107,0.0081,0.0002,
S2 30-7,S,2,30,7,3.24,5,Z,,0.5647,0.1528,0.1937,0.0697,0.0107,0.0081,0.0002,
S2 30-7,S,2,30,7,3.24,10,Z,,0.5647,0.1528,0.1937,0.0697,0.0107,0.0081,0.0002,
S2 30-7,S,2,30,7,3.24,15,Z,,0.5647,0.1528,0.1937,0.0697,0.0107,0.0081,0.0002,
S2 40-9,S,2,40,9,3,0,D,,0.5853,0.1847,0.1988,0.0255,0.0043,0.001,0.0005,
S2 40-9,S,2,40,9,3,0,D,,0.5853,0.1847,0.1988,0.0255,0.0043,0.001,0.0005,
S2 40-9,S,2,40,9,3,5,D,,0.5853,0.1847,0.1988,0.0255,0.0043,0.001,0.0005,
S2 40-9,S,2,40,9,3,5,D,,0.5853,0.1847,0.1988,0.0255,0.0043,0.001,0.0005,
S2 40-9,S,2,40,9,3,5,D,,0.5853,0.1847,0.1988,0.0255,0.0043,0.001,0.0005,
S2 40-9,S,2,40,9,3,5,D,,0.5853,0.1847,0.1988,0.0255,0.0043,0.001,0.0005,
S2 40-9,S,2,40,9,3,5,D,,0.5853,0.1847,0.1988,0.0255,0.0043,0.001,0.0005,
S2 40-9,S,2,40,9,3,5,D,,0.5853,0.1847,0.1988,0.0255,0.0043,0.001,0.0005,
S2 40-9,S,2,40,9,3,10,D,,0.5853,0.1847,0.1988,0.0255,0.0043,0.001,0.0005,
S2 40-9,S,2,40,9,3,10,D,,0.5853,0.1847,0.1988,0.0255,0.0043,0.001,0.0005,
S2 40-9,S,2,40,9,3,15,Z,,0.5853,0.1847,0.1988,0.0255,0.0043,0.001,0.0005,
S2 50-5,S,2,50,5,2.87,0,Z,,0.541,0.2723,0.1648,0.0185,0.0026,0.0006,0.0002,
S2 50-5,S,2,50,5,2.87,5,Z,,0.541,0.2723,0.1648,0.0185,0.0026,0.0006,0.0002,
S2 50-5,S,2,50,5,2.87,10,Z,,0.541,0.2723,0.1648,0.0185,0.0026,0.0006,0.0002,
S2 50-5,S,2,50,5,2.87,15,Z,,0.541,0.2723,0.1648,0.0185,0.0026,0.0006,0.0002,
S2 60-9,S,2,60,9,2.59,15,A,32.76,0.5484,0.1704,0.2075,0.0635,0.0097,0.0004,0.0001,
S2 60-9,S,2,60,9,2.59,0,D,,0.5484,0.1704,0.2075,0.0635,0.0097,0.0004,0.0001,
S2 60-9,S,2,60,9,2.59,0,D,,0.5484,0.1704,0.2075,0.0635,0.0097,0.0004,0.0001,
S2 60-9,S,2,60,9,2.59,5,Z,,0.5484,0.1704,0.2075,0.0635,0.0097,0.0004,0.0001,
S2 60-9,S,2,60,9,2.59,10,Z,,0.5484,0.1704,0.2075,0.0635,0.0097,0.0004,0.0001,
S2 70-5,S,2,70,5,2.49,0,Z,,0.5613,0.1929,0.19,0.0449,0.0052,0.0055,0.0003,
S2 70-5,S,2,70,5,2.49,5,A,40.18,0.5613,0.1929,0.19,0.0449,0.0052,0.0055,0.0003,
