"","UniqueID","StreamSide","StreamDistance","APresence","DPresence"
"1","C 100-0","C",0,1,9
"2","C 110-1","C",0,0,0
"3","C 20-6","C",0,0,0
"4","C 30-4","C",0,0,4
"5","C 40-9","C",0,0,1
"6","C 50-3","C",0,0,0
"7","C 60-3","C",0,0,8
"8","C 70-7","C",0,0,6
"9","C 80-6","C",0,0,9
"10","C 90-2","C",0,0,3
"11","N 2 140-7","N",2,0,0
"12","N2 0-9","N",2,0,0
"13","N2 10-4","N",2,0,0
"14","N2 100-4","N",2,0,0
"15","N2 110-9","N",2,0,0
"16","N2 120-4","N",2,0,2
"17","N2 130-0","N",2,0,0
"18","N2 20-4","N",2,0,0
"19","N2 30-0","N",2,0,2
"20","N2 40-0","N",2,0,0
"21","N2 50-0","N",2,0,0
"22","N2 60-1","N",2,0,1
"23","N2 70-0","N",2,0,0
"24","N2 80-6","N",2,0,7
"25","N2 90-0","N",2,1,0
"26","S 2 140-2","S",2,1,0
"27","S2 0-5","S",2,0,0
"28","S2 10-2","S",2,0,5
"29","S2 100-0","S",2,1,2
"30","S2 110-2","S",2,2,4
"31","S2 120-4","S",2,2,4
"32","S2 130-9","S",2,3,6
"33","S2 20-7","S",2,0,0
"34","S2 30-7","S",2,0,0
"35","S2 40-9","S",2,0,10
"36","S2 50-5","S",2,0,0
"37","S2 60-9","S",2,1,2
"38","S2 70-5","S",2,4,0
"39","S2 80-7","S",2,1,2
"40","S2 90-9","S",2,1,2
"41","N5 0-3","N",5,0,0
"42","N5 10-4","N",5,0,0
"43","N5 100-7","N",5,0,0
"44","N5 110-3","N",5,0,0
"45","N5 120-8","N",5,0,4
"46","N5 130-2","N",5,2,0
"47","N5 140-3","N",5,0,0
"48","N5 20-9","N",5,0,1
"49","N5 30-3","N",5,0,0
"50","N5 40-2","N",5,1,2
"51","N5 50-4","N",5,11,1
"52","N5 60-5","N",5,0,0
"53","N5 70-5","N",5,0,6
"54","N5 80-1","N",5,1,0
"55","N5 90-3","N",5,2,3
"56","S5 100-1","S",5,0,2
"57","S5 110-0","S",5,2,0
"58","S5 120-6","S",5,1,0
"59","S5 130-0","S",5,2,0
"60","S5 140-3","S",5,0,6
"61","S5 20-5","S",5,0,1
"62","S5 30-5","S",5,0,1
"63","S5 40-6","S",5,2,1
"64","S5 50-4","S",5,0,0
"65","S5 60-0","S",5,0,3
"66","S5 70-0","S",5,1,5
"67","S5 80-0","S",5,10,4
"68","S5 90-0","S",5,7,8
"69","N10 100-7","N",10,2,0
"70","N10 110-5","N",10,0,2
"71","N10 120-0","N",10,2,3
"72","N10 130-4","N",10,0,0
"73","N10 20-0","N",10,0,1
"74","N10 30-1","N",10,0,0
"75","N10 40-6","N",10,5,0
"76","N10 50-3","N",10,26,16
"77","N10 60-4","N",10,0,0
"78","N10 70-5","N",10,0,7
"79","N10 80-5","N",10,1,3
"80","N10 90-5","N",10,12,7
"81","S10 100-5","S",10,4,6
"82","S10 110-4","S",10,1,11
"83","S10 120-7","S",10,0,0
"84","S10 130-9","S",10,0,2
"85","S10 140-6","S",10,1,5
"86","S10 30-0","S",10,0,0
"87","S10 40-4","S",10,0,0
"88","S10 50-7","S",10,1,7
"89","S10 60-5","S",10,2,6
"90","S10 70-7","S",10,7,11
"91","S10 80-7","S",10,19,0
"92","S10 90-7","S",10,0,1
