"","UniqueID","StreamSide","StreamDistance","Elevation","DepthBin","Mortality","Sizemm","normGravel","normSand","normSilt","PC1","gravel","DownStreamTotal","APresence","DPresence"
"1","S2 110-2","S",2,1.76,15,"A",24.63,0.0884637830395658,-0.164238708442739,0.275748799069172,-0.419903088335641,0.7904,112,1,0
"2","S5 130-0","S",5,1.63,15,"A",64.79,-0.104184187463599,0.342371542152688,0.745752428314907,1.96730208656077,0.6519,130,1,0
"3","S5 120-6","S",5,1.53,5,"A",61.79,0.040255433388905,-0.000167447150762431,0.052605247754962,0.577497507970797,0.7532,126,1,0
"4","S2 130-9","S",2,1.5,5,"A",59.14,0.0413170046138636,-0.00463990835669605,0.458070355863126,0.798312586850766,0.754,139,1,0
"5","S10 140-6","S",10,1.42,15,"A",56.21,-0.0824854376345131,0.299110419462402,1.30536821625033,2.04780033277511,0.6662,146,1,0
"6","S2 120-4","S",2,1.57,10,"A",54.53,NA,NA,NA,NA,NA,124,1,0
"7","S2 120-4","S",2,1.57,15,"A",53.33,NA,NA,NA,NA,NA,124,1,0
"8","C 100-0","C",0,1.89,5,"A",52.8,0.139276192589765,-0.382970400218937,0.052605247754962,-2.05552797292785,0.8316,100,1,0
"9","N10 50-3","N",10,2.65,0,"A",52.35,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"10","S2 70-5","S",2,2.49,10,"A",51.59,0.0415822214301644,-0.00382524436051961,-0.235076824696819,0.438740823655617,0.7542,75,1,0
"11","S5 80-0","S",5,2.41,15,"A",50.83,0.045023654343576,-0.0148796046253803,-0.640541932804983,-0.705075298335113,0.7568,80,1,0
"12","S5 80-0","S",5,2.41,0,"A",50.73,0.045023654343576,-0.0148796046253803,-0.640541932804983,-0.705075298335113,0.7568,80,1,0
"13","N10 50-3","N",10,2.65,10,"A",50.06,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"14","N10 100-7","N",10,1.79,10,"A",49.95,NA,NA,NA,NA,NA,107,1,0
"15","S10 100-5","S",10,1.96,10,"A",49.64,0.116286674365067,-0.27695572617199,0.275748799069172,-0.503019531818669,0.8127,105,1,0
